id,name,price,type,rating,rating_number,location,website,contact_number,opening_hours,about,image_source,created_at,updated_at,score
43,St. John,£41 and over,British,4.8,2986,Farringdon,http://www.stjohnrestaurant.com/,020 7251 0848,Lunch Mon–Sat 12:00–15:00 Sun 12:00–16:00 Dinner Mon–Sat 18:00–22:30,Fergus Henderson’s original home of “Nose to Tail Eating” opened in a former smokehouse around the corner from Smithfield Market in 1994.  Celebrating the finest of indigenous British produce and making the most of what is seasonally best whilst applying straight forward cooking techniques,https://images.otstatic.com/prod1/41871637/1/medium.jpg,2022-01-26 16:46:12.163062+00,2022-01-26 16:46:12.163062+00,4.6198193305044795
5,Hawksmoor Guildhall,£25 and under,Steakhouse,4.7,3285,Bank,https://thehawksmoor.com/locations/guildhall/,020 7397 8120,Mon–Fri 17:00–21:30 Tue–Fri 12:00–14:30 Sat 17:00–23:00,Situated in the heart of The City,https://resizer.otstatic.com/v2/photos/medium/1/47169058.jpg,2022-01-26 16:46:12.006337+00,2022-01-26 16:46:12.006337+00,4.570328254667241
19,Coq d’Argent Restaurant,£41 and over,French,4.5,5702,Bank,http://www.coqdargent.co.uk/,020 7395 5000,Lunch Mon–Fri 12:00–15:00 Brunch Sat 12:00–15:30 Bar Mon–Sat 12:00–00:00 Dinner Mon–Sat 17:30–22:00,High above the City you'll find a classic French restaurant,https://images.otstatic.com/prod/24611265/1/medium.jpg,2022-01-26 16:46:12.06645+00,2022-01-26 16:46:12.06645+00,4.466514120656354
39,The Ivy City Garden,£25 and under,Contemporary British,4.5,4712,Liverpool Street,https://theivycitygarden.com/,020 3146 7744,Mon–Fri 08:00–00:00 Sat 11:00–00:00 Sun 11:00–18:00,Located in the historic Bishopsgate Gardens,https://images.otstatic.com/prod/25086287/1/medium.jpg,2022-01-26 16:46:12.148426+00,2022-01-26 16:46:12.148426+00,4.461761967481152
72,Paternoster Chop House,£26 to £40,British,4.5,2336,St Paul's,http://www.paternosterchophouse.co.uk/,020 7029 9400,Tue 12:00–21:00 Sat 12:00–22:30 Sun 12:00–16:30,We are bringing back the great British Chop House – harking back to a time when meat was king,https://images.otstatic.com/prod1/41938559/2/medium.jpg,2022-01-26 16:46:12.265058+00,2022-01-26 16:46:12.265058+00,4.442011192423591
68,Kenza,£26 to £40,Lebanese,4.4,3584,Aldgate,http://www.kenza-restaurant.com/,020 7929 5533,Hours of Operation Lunch Mon–Fri 12:00–17:00 Dinner Mon–Thu 17:00–22:00 Fri, Sat 17:00–23:00,https://images.otstatic.com/prod/23679952/1/medium.jpg,2022-01-26 16:46:12.256977+00,2022-01-26 16:46:12.256977+00,4.393100459156724
3,M Threadneedle Street,£41 and over,Steakhouse,4.4,2264,Bank,http://www.mrestaurants.co.uk/,020 3327 7770,Mon–Sat 12:00–22:00,M Restaurants take inspiration from six different continents around the world - South Africa,https://images.otstatic.com/prod/27181612/1/medium.jpg,2022-01-26 16:46:11.997451+00,2022-01-26 16:46:11.997451+00,4.391089108910892
42,Yauatcha City,£25 and under,Chinese,4.3,2351,Liverpool Street,http://www.yauatcha.com/,020 3817 9888,Tue, Wed 11:30–22:00 Thu,https://images.otstatic.com/prod/23889651/1/medium.jpg,2022-01-26 16:46:12.159335+00,2022-01-26 16:46:12.159335+00,4.340314514658401
18,1 Lombard Street Brasserie,£41 and over,British,4.3,3766,Bank,http://www.1lombardstreet.com/,020 7929 6611,Breakfast Mon–Fri 07:30–09:45 Lunch Mon–Fri 11:30–16:30 Dinner Mon–Fri 16:30–21:30 Sat 16:00–21:30,1 Lombard Street is one of the longest standing restaurants in The City of London,https://images.otstatic.com/prod1/42304143/3/medium.jpg,2022-01-26 16:46:12.060202+00,2022-01-26 16:46:12.060202+00,4.330854309311528
31,Cinnamon Kitchen,£26 to £40,Indian,4.2,2636,Liverpool Street,http://www.cinnamon-kitchen.com/,020 7626 5000,Tue–Sat 12:00–23:00 Sun 12:00–22:00,Located in the striking Devonshire Square development,https://images.otstatic.com/prod1/47090119/3/medium.jpg,2022-01-26 16:46:12.119425+00,2022-01-26 16:46:12.119425+00,4.284173772479289
17,Bread Street Kitchen & Bar — St Paul's,£26 to £40,Modern European,4.2,4164,St Paul's,https://www.gordonramsayrestaurants.com/bread-street-kitchen/st-pauls/,020 3030 4050,Mon–Wed 07:30–00:00 Thu, Fri 07:30–01:00 Sat 11:30–01:00 Sun 10:30–21:00,https://images.otstatic.com/prod/26336524/3/medium.jpg,2022-01-26 16:46:12.054032+00,2022-01-26 16:46:12.054032+00,4.264164823451854
